surface	source	record_paths	occurrences	label	semantic_type	target_curie	ontology_label	label_match	target_label	target_label_match	declared_exact_synonyms	asserted_predicate	status
mapping	mappings/node_grounding.tsv:2		1	molecular oxygen	CHEMICAL	CHEBI:15379	dioxygen	NO_EXACT_LABEL_MATCH	dioxygen	CANONICAL_LABEL	dioxygen | Oxygen	skos:exactMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:3		1	carbon dioxide	CHEMICAL	CHEBI:16526	carbon dioxide	CANONICAL_LABEL	carbon dioxide	CANONICAL_LABEL	CARBON DIOXIDE | Carbon dioxide | carbon dioxide | dioxidocarbon | methanedione	skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:4		1	carbon monoxide	CHEMICAL	CHEBI:17245	carbon monoxide	CANONICAL_LABEL	carbon monoxide	CANONICAL_LABEL	carbon monooxide | CARBON MONOXIDE | Carbon monoxide | carbon monoxide | carbon(II) oxide	skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:5		1	molecular hydrogen	CHEMICAL	CHEBI:18276	dihydrogen	NO_EXACT_LABEL_MATCH	dihydrogen	CANONICAL_LABEL	dihydrogen | Hydrogen	skos:exactMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:6		1	methane	CHEMICAL	CHEBI:16183	methane	CANONICAL_LABEL	methane	CANONICAL_LABEL	Methane | methane | tetrahydridocarbon	skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:7		1	methanol	CHEMICAL	CHEBI:17790	methanol	CANONICAL_LABEL	methanol	CANONICAL_LABEL	METHANOL | Methanol | methanol	skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:8		1	ammonia	CHEMICAL	CHEBI:16134	ammonia	CANONICAL_LABEL	ammonia	CANONICAL_LABEL	AMMONIA | Ammonia | ammonia | azane	skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:9		1	nitrate	CHEMICAL	CHEBI:17632	nitrate	CANONICAL_LABEL	nitrate	CANONICAL_LABEL	nitrate | trioxidonitrate(1-) | trioxonitrate(1-) | trioxonitrate(V)	skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:10		1	sulfate	CHEMICAL	CHEBI:16189	sulfate	CANONICAL_LABEL	sulfate	CANONICAL_LABEL	Sulfate | sulfate | tetraoxidosulfate(2-) | tetraoxosulfate(2-) | tetraoxosulfate(VI)	skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:11		1	sulfide	CHEMICAL	CHEBI:15138	sulfide(2-)	NO_EXACT_LABEL_MATCH	sulfide(2-)	CANONICAL_LABEL	sulfanediide | sulfide(2-)	skos:exactMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:12		1	proton	CHEMICAL	CHEBI:24636	proton	CANONICAL_LABEL	proton	CANONICAL_LABEL	protium(1+) | proton	skos:exactMatch	EXACT_LEXICAL
mapping	mappings/node_grounding.tsv:13		1	ferrous iron	CHEMICAL	CHEBI:29033	iron(2+)	NO_EXACT_LABEL_MATCH	iron(2+)	CANONICAL_LABEL	Iron(2+) | iron(2+) | iron(2+) ion | iron(II) cation	skos:exactMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:14		1	organic carbon	CHEMICAL	CHEBI:50860	organic molecular entity	NO_EXACT_LABEL_MATCH	organic molecular entity	CANONICAL_LABEL		skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:15		1	compatible solutes	CHEMICAL	CHEBI:25728	osmolyte	NO_EXACT_LABEL_MATCH	osmolyte	CANONICAL_LABEL		skos:closeMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:16		1	citrate	CHEMICAL	CHEBI:16947	citrate(3-)	NO_EXACT_LABEL_MATCH	citrate(3-)	CANONICAL_LABEL	2-hydroxypropane-1,2,3-tricarboxylate	skos:exactMatch	SEMANTIC_NOT_LEXICAL
mapping	mappings/node_grounding.tsv:17		1	fumarate	CHEMICAL	CHEBI:29806	fumarate(2-)	NO_EXACT_LABEL_MATCH	fumarate(2-)	CANONICAL_LABEL	(2E)-but-2-enedioate	skos:exactMatch	SEMANTIC_NOT_LEXICAL
