proposed_id	label	definition	definition_source	parent	synonyms	xrefs	subset	priority	observations	traits_addressed
ID	LABEL	A IAO:0000115	>A IAO:0000119	SC %	A oboInOwl:hasExactSynonym SPLIT=|	A oboInOwl:hasDbXref SPLIT=|	A oboInOwl:inSubset			
METPO:1007400	trait causal graph	A directed graph of evidence-backed causal or mechanistic relationships that explains how a microbial trait is realized; consists of typed nodes (traits, genes/proteins, chemicals, processes, environmental factors) connected by predicate-labeled edges.	TraitMech:src/traitmech/schema/traitmech.yaml#CausalGraph	METPO:1000000	trait mechanism graph|trait causal mechanism		metpo_traitmech_2026_05	HIGH		root domain class for the TraitMech causal-graph subsystem
METPO:1007401	trait causal node	A typed entity that participates in a trait causal graph, addressable by a stable local identifier and bearing a category drawn from a controlled vocabulary of mechanism axes (trait, pathway, gene/protein, chemical, environmental factor, etc.).	TraitMech:src/traitmech/schema/traitmech.yaml#CausalNode	METPO:1000000	causal graph node|trait mechanism node		metpo_traitmech_2026_05	HIGH		root domain class
METPO:1007402	trait causal edge	An evidence-backed directed relationship between two trait causal nodes, carrying a predicate label (optionally grounded in an external relation ontology) and at least one citation supporting the causal claim.	TraitMech:src/traitmech/schema/traitmech.yaml#CausalEdge	METPO:1000000	trait mechanism edge|causal graph edge		metpo_traitmech_2026_05	HIGH		root domain class
METPO:1007410	trait causal node type	The semantic category of a node in a trait causal graph; partitions causal-graph nodes by the kind of biological or chemical entity they denote.	TraitMech:src/traitmech/schema/traitmech.yaml#CausalNodeTypeEnum	METPO:1007401	causal node category|node type		metpo_traitmech_2026_05	HIGH		enum-parent for CausalNodeTypeEnum lift
METPO:1007411	causal-graph trait node	A trait causal node that denotes a microbial trait (a METPO or TraitMech-registered trait); used in causal graphs to express how one trait depends on or modulates another.	TraitMech:src/traitmech/schema/traitmech.yaml#CausalNodeTypeEnum.TRAIT	METPO:1007410	trait node		metpo_traitmech_2026_05	HIGH		leaf — CausalNodeTypeEnum.TRAIT
METPO:1007412	causal-graph pathway node	A trait causal node that denotes a metabolic or signaling pathway, or a pathway-like mechanism, that participates in the realization of a trait.	TraitMech:src/traitmech/schema/traitmech.yaml#CausalNodeTypeEnum.PATHWAY	METPO:1007410	pathway node		metpo_traitmech_2026_05	HIGH		leaf — CausalNodeTypeEnum.PATHWAY
METPO:1007413	causal-graph environmental factor node	A trait causal node that denotes an environmental exposure or condition (e.g. temperature, salinity, presence of a substrate) that contributes to or modulates the trait outcome.	TraitMech:src/traitmech/schema/traitmech.yaml#CausalNodeTypeEnum.ENVIRONMENTAL_FACTOR	METPO:1007410	environmental factor node|environmental condition node	ENVO:01000254	metpo_traitmech_2026_05	HIGH		leaf — CausalNodeTypeEnum.ENVIRONMENTAL_FACTOR
METPO:1007414	causal-graph experimental factor node	A trait causal node that denotes an assay, perturbation, treatment, or experimental condition under which the trait is observed or tested.	TraitMech:src/traitmech/schema/traitmech.yaml#CausalNodeTypeEnum.EXPERIMENTAL_FACTOR	METPO:1007410	experimental factor node|assay node	EFO:0000001	metpo_traitmech_2026_05	HIGH		leaf — CausalNodeTypeEnum.EXPERIMENTAL_FACTOR
METPO:1007415	causal-graph gene or protein node	A trait causal node that denotes a gene, protein, gene product, or protein complex implicated in the mechanism of a trait.	TraitMech:src/traitmech/schema/traitmech.yaml#CausalNodeTypeEnum.GENE_OR_PROTEIN	METPO:1007410	gene node|protein node|gene product node	SO:0000704|PR:000000001	metpo_traitmech_2026_05	HIGH		leaf — CausalNodeTypeEnum.GENE_OR_PROTEIN
METPO:1007416	causal-graph chemical node	A trait causal node that denotes a chemical entity (small molecule, ion, metabolite) participating in a trait mechanism — typically a substrate, product, cofactor, or electron donor/acceptor.	TraitMech:src/traitmech/schema/traitmech.yaml#CausalNodeTypeEnum.CHEMICAL	METPO:1007410	chemical node|small molecule node	CHEBI:24431	metpo_traitmech_2026_05	HIGH		leaf — CausalNodeTypeEnum.CHEMICAL
METPO:1007417	causal-graph organelle node	A trait causal node that denotes a microbial subcellular organelle or organelle-like compartment relevant to the trait mechanism (e.g. magnetosome, carboxysome, gas vesicle).	TraitMech:src/traitmech/schema/traitmech.yaml#CausalNodeTypeEnum.ORGANELLE	METPO:1007410	organelle node|microbial organelle node	GO:0043226	metpo_traitmech_2026_05	HIGH		leaf — CausalNodeTypeEnum.ORGANELLE
METPO:1007418	causal-graph cellular localization node	A trait causal node that denotes a cellular component or subcellular localization (cytoplasm, membrane, periplasm, cell wall, etc.) at which a trait mechanism is realized.	TraitMech:src/traitmech/schema/traitmech.yaml#CausalNodeTypeEnum.CELLULAR_LOCALIZATION	METPO:1007410	cellular component node|localization node	GO:0005575	metpo_traitmech_2026_05	HIGH		leaf — CausalNodeTypeEnum.CELLULAR_LOCALIZATION
METPO:1007419	causal-graph molecular function node	A trait causal node that denotes a molecular activity or function (catalysis, transport, binding) contributing to the trait mechanism.	TraitMech:src/traitmech/schema/traitmech.yaml#CausalNodeTypeEnum.MOLECULAR_FUNCTION	METPO:1007410	molecular function node|molecular activity node	GO:0003674	metpo_traitmech_2026_05	HIGH		leaf — CausalNodeTypeEnum.MOLECULAR_FUNCTION
METPO:1007420	causal-graph biological process node	A trait causal node that denotes a biological process (e.g. respiration, nitrogen fixation, biofilm formation) that is part of, or causally upstream of, the trait mechanism.	TraitMech:src/traitmech/schema/traitmech.yaml#CausalNodeTypeEnum.BIOLOGICAL_PROCESS	METPO:1007410	biological process node	GO:0008150	metpo_traitmech_2026_05	HIGH		leaf — CausalNodeTypeEnum.BIOLOGICAL_PROCESS
METPO:1007421	causal-graph state node	A trait causal node that denotes a bioenergetic or molecular state of the cell — a gradient or steady-value (e.g. proton motive force, redox state of the quinone pool) that mediates the trait mechanism. Distinct from a process: the state is the thing maintained, not its establishment.	TraitMech:src/traitmech/schema/traitmech.yaml#CausalNodeTypeEnum.STATE	METPO:1007410	state node|bioenergetic state node		metpo_traitmech_2026_05	HIGH		leaf — CausalNodeTypeEnum.STATE (extended in PR_D)
METPO:1007422	causal-graph quality node	A trait causal node that denotes a quality or measurable attribute of a cellular component (PATO-style axis attached to a microbial entity) — e.g. membrane fluidity, GC content, motility speed — that modulates the trait mechanism.	TraitMech:src/traitmech/schema/traitmech.yaml#CausalNodeTypeEnum.QUALITY	METPO:1007410	quality node|attribute node	PATO:0000001	metpo_traitmech_2026_05	HIGH		leaf — CausalNodeTypeEnum.QUALITY (extended in PR_D)
METPO:1007423	causal-graph capacity node	A trait causal node that denotes a metabolic or functional capacity — an electron-donating pool, ATP charge, or other reservoir-of-X notion that is neither a single chemical species nor a process (e.g. reducing power, energy charge).	TraitMech:src/traitmech/schema/traitmech.yaml#CausalNodeTypeEnum.CAPACITY	METPO:1007410	capacity node|reservoir node		metpo_traitmech_2026_05	HIGH		leaf — CausalNodeTypeEnum.CAPACITY (extended in PR_D)
