label	target_curie	target_label	predicate_id	source	confidence	subject_types	object_types	notes
produces	METPO:2007800	produces	skos:closeMatch	METPO	high	GENE_OR_PROTEIN|STATE|TRAIT	BIOLOGICAL_PROCESS|CHEMICAL	Repointed from METPO:2000202 by TraitMech#329. The gate encodes the split with RO:0002234 (has output) on BOTH sides, because spelling it only as a subject_types exclusion of the three activity node types was not a faithful proxy: observation.yaml's 'assay or measurement process' was typed EXPERIMENTAL_FACTOR and so routed around that exclusion onto this chemical-production term, which is exactly the has-output case the split exists to divert. That node is an investigation process by its own description and is now typed BIOLOGICAL_PROCESS, its edge moved to RO:0002234, and neither subject_types nor object_types admits EXPERIMENTAL_FACTOR any more. subject_types no longer admits CHEMICAL: a chemical does not bring another entity into existence the way an agent does. Two such edges moved to RO:0001001 (derives into) in #327 and the last one, acetyl_phosphate -> ATP, was remodelled onto an explicit acetate kinase step in #331, so the gate now matches the definition exactly.
oxidizes	METPO:2007803	oxidizes	skos:closeMatch	METPO	high	GENE_OR_PROTEIN|TRAIT	CHEMICAL	Repointed from METPO:2000016 by TraitMech#329. Sister of `reduces`; kept distinct rather than collapsed into one catalytic relation, per the #303 lesson.
uses carbon source	METPO:2000006	uses as carbon source	skos:exactMatch	METPO	high	*	*	corpus label is shorter than METPO's official label; semantics identical (organism uses chemical as carbon source); paired-negative at METPO:2000031
uses electron donor	METPO:2000009	uses as electron donor	skos:exactMatch	METPO	high	NONE	*	METPO:2000008/2000009 are rdfs:subPropertyOf METPO:2000001, whose rdfs:domain is METPO:1000525 (microbe), so a non-organism subject entails that subject IS a microbe. CausalNodeTypeEnum has no organism member, so no causal-graph edge can satisfy the domain and the label is never grounded here (#295). The 15 edges that carried it were moved to <chemical> RO:0002327 <trait>; that form is NOT settled - RO:0002327's range is 'biological process or activity', so a TRAIT object is its own violation (#302), and collapsing donor and acceptor onto one relation loses the distinction (#303). Prefer the graph's BIOLOGICAL_PROCESS node as the object until #302 lands; see docs/CURATION_PLAYBOOK.md. The organism-subject form stays valid at the assertion site, which is what the OBJECT_PROPERTY records' domain: describes.
uses electron acceptor	METPO:2000008	uses as electron acceptor	skos:exactMatch	METPO	high	NONE	*	METPO:2000008/2000009 are rdfs:subPropertyOf METPO:2000001, whose rdfs:domain is METPO:1000525 (microbe), so a non-organism subject entails that subject IS a microbe. CausalNodeTypeEnum has no organism member, so no causal-graph edge can satisfy the domain and the label is never grounded here (#295). The 15 edges that carried it were moved to <chemical> RO:0002327 <trait>; that form is NOT settled - RO:0002327's range is 'biological process or activity', so a TRAIT object is its own violation (#302), and collapsing donor and acceptor onto one relation loses the distinction (#303). Prefer the graph's BIOLOGICAL_PROCESS node as the object until #302 lands; see docs/CURATION_PLAYBOOK.md. The organism-subject form stays valid at the assertion site, which is what the OBJECT_PROPERTY records' domain: describes.
uses energy source	METPO:2000010	uses as energy source	skos:exactMatch	METPO	high	*	*	corpus label shorter than METPO's official label; paired-negative at METPO:2000036
is a	rdfs:subClassOf	subClassOf	skos:exactMatch	RDFS	high	*	*	RDF/RDFS standard; not a METPO/RO term — used here so causal-graph nodes can declare inheritance
enables	RO:0002327	enables	skos:exactMatch	RO	high	*	*	exact label match against RO; the corpus's most-used causal-graph predicate. Biolink cross-walk: biolink:enables (exact_mapping RO:0002327). NOTE the row is deliberately ungated but is NOT unconstrained in principle: biolink gives enables domain 'physical entity' and range 'biological process or activity', and 164 corpus edges point it at a TRAIT object, which a disposition cannot satisfy. Gating object_types today would block all 164 and fail just qc, so the decision is tracked in #302 - do not read the */* as license to add more TRAIT-object edges.
contributes to	RO:0002326	contributes to	skos:exactMatch	RO	high	*	*	exact label match against RO. Biolink cross-walk: biolink:contributes_to (exact_mapping RO:0002326).
regulates	RO:0002211	regulates	skos:exactMatch	RO	high	*	*	exact label match against RO
causes	biolink:causes	causes	skos:exactMatch	biolink	high	*	*	exact label match against biolink slot; biolink has no exact_mapping to a single RO id (its causes is a unifying predicate)
catalyzes	biolink:catalyzes	catalyzes	skos:exactMatch	biolink	high	*	*	biolink:catalyzes is the enzyme-specific variant; exact_mapping RO:0002327. Chose biolink form because corpus's catalyzes edges are macromolecular machines acting on substrates.
associated with	biolink:associated_with	associated with	skos:exactMatch	biolink	high	*	*	exact label match; weakest causal claim in biolink, appropriate for ambiguous corpus edges
located in	biolink:located_in	located in	skos:exactMatch	biolink	high	*	*	exact label match
participates in	biolink:participates_in	participates in	skos:exactMatch	biolink	high	*	*	exact label match
part of	biolink:part_of	part of	skos:exactMatch	biolink	high	*	*	exact label match
occurs in	biolink:occurs_in	occurs in	skos:exactMatch	biolink	high	*	*	exact label match
interacts with	biolink:interacts_with	interacts with	skos:exactMatch	biolink	high	*	*	exact label match
develops into	biolink:develops_into	develops into	skos:exactMatch	biolink	high	*	*	exact label match
consumes	biolink:consumes	consumes	skos:exactMatch	biolink	high	*	*	exact label match
specializes	rdfs:subClassOf	subClassOf	skos:closeMatch	RDFS	high	*	*	"X specializes Y = ""X subClassOf Y"" — paraphrase of `is a`, used for upper-ontology child-trait edges"
example of	rdfs:subClassOf	subClassOf	skos:closeMatch	RDFS	high	*	*	"X example of Y = ""X subClassOf Y"" — paraphrase of `is a`, used for metabolism subtype edges"
generates	biolink:produces	produces	skos:closeMatch	biolink	high	*	*	"X generates Y = ""X produces Y""; biolink:produces (RO:0003000) is the material-entity→product slot"
localized in	biolink:located_in	located in	skos:exactMatch	biolink	high	*	*	exact-semantics alias of `located in`
localized to	biolink:located_in	located in	skos:exactMatch	biolink	high	*	*	exact-semantics alias of `located in`
localizes to	biolink:located_in	located in	skos:exactMatch	biolink	high	*	*	exact-semantics alias of `located in`
encodes	METPO:2007813	encodes	skos:exactMatch	METPO	high	GENE_OR_PROTEIN	GENE_OR_PROTEIN|BIOLOGICAL_PROCESS|ORGANELLE	Proposed in proposals/metpo_traitmech_v9 (placeholder id). Was biolink:encodes, which is NOT a slot in the pinned biolink 4.4.0 model (TraitMech#342). The disclaimer lived here while the unqualified biolink: CURIE was what got written into 9 trait files, so a reader of a trait record saw an apparently-upstream term; minting it removes the false claim from the data rather than annotating it in a table read at a different moment. RO:0002205 (has gene product) is the nearest real term but relates a GENE to a gene product, while all 10 corpus edges relate a gene CLUSTER or OPERON to a protein COMPLEX or a biosynthetic PROCESS; recorded as skos:closeMatch in the cohort's SSSOM file. object_types admits the three node types actually observed.
depends on	RO:0002502	depends on	skos:exactMatch	RO	high	*	*	exact label match against RO; weakest existential dependence predicate
controls	RO:0002211	regulates	skos:closeMatch	RO	high	*	*	semantic equivalent of `regulates` (RO:0002211); corpus uses `controls` for sensing→effector and cytoskeleton→synthesis edges that match the RO definition of regulation
directs	RO:0002211	regulates	skos:closeMatch	RO	high	*	*	semantic equivalent of `regulates` (RO:0002211); corpus uses `directs` for control-flow edges (e.g. cytoskeleton directs synthesis) which RO subsumes under regulates
manifests as	METPO:2007400	manifests as	skos:exactMatch	METPO	high	*	*	proposed upstream in proposals/metpo_traitmech_v2 cohort (subset metpo_traitmech_2026_06); 52 edges
selects for	METPO:2007401	selects for	skos:exactMatch	METPO	high	*	*	proposed upstream in proposals/metpo_traitmech_v2; 20 edges, evolutionary selection pressure
feeds electrons into	METPO:2007402	feeds electrons into	skos:exactMatch	METPO	high	*	*	proposed upstream in proposals/metpo_traitmech_v2; 12 edges, electron donor → transport pathway
transfers electrons to	METPO:2007403	transfers electrons to	skos:exactMatch	METPO	high	*	*	proposed upstream in proposals/metpo_traitmech_v2; 6 edges, single-step redox donor → acceptor
fixed by	METPO:2007404	fixed by	skos:exactMatch	METPO	high	*	*	proposed upstream in proposals/metpo_traitmech_v2; 9 edges, inorganic substrate → fixation pathway
oxidized to	METPO:2007405	oxidized to	skos:exactMatch	METPO	high	*	*	proposed upstream in proposals/metpo_traitmech_v2; 8 edges, reduced substrate → oxidized product
challenges	METPO:2007406	challenges	skos:exactMatch	METPO	high	*	*	proposed upstream in proposals/metpo_traitmech_v2; 9 edges, paired-negative-of mitigates
mitigates	METPO:2007407	mitigates	skos:exactMatch	METPO	high	*	*	proposed upstream in proposals/metpo_traitmech_v2; 12 edges, paired-positive-of challenges
defines	METPO:2007500	defines	skos:exactMatch	METPO	high	*	*	proposed upstream in proposals/metpo_traitmech_v4; 14 edges — 12 environmental-axis → numerical-phenotype contexts (delta/range/optimum graphs) + 2 structural-feature → morphology-trait contexts (outer membrane → gram negative; periplasmic flagella → axially filamented)
organism interacts with chemical	METPO:2000001	organism interacts with chemical	skos:exactMatch	METPO	high	*	*	exact label match against METPO ObjectProperty; root organism↔chemical predicate (parent of uses-as-X, ferments, produces, etc.)
ferments	METPO:2000011	ferments	skos:exactMatch	METPO	high	*	*	exact label match against METPO ObjectProperty; paired-negative at METPO:2000037; organism + ferments + CHEBI:chemical assertion pattern
does not ferment	METPO:2000037	does not ferment	skos:exactMatch	METPO	high	*	*	exact label match against METPO ObjectProperty; paired-negative-of ferments (METPO:2000011)
uses for growth	METPO:2000012	uses for growth	skos:exactMatch	METPO	high	*	*	exact label match against METPO ObjectProperty; generic organism + uses for growth + CHEBI:chemical assertion
