proposed_id	label	definition	definition_source	type	domain	range	xrefs	subset	priority	traits_addressed	observations
ID	LABEL	A IAO:0000115	>A IAO:0000119	TYPE	DOMAIN	RANGE	A oboInOwl:hasDbXref SPLIT=|	A oboInOwl:inSubset			
METPO:2007800	produces	A relation between a trait causal node and a chemical entity: asserts that the activity or state of the subject brings the object into existence.	TraitMech:data/traits/environment/mercury_tolerant.yaml#mercury_tolerance_mer_reduction	owl:ObjectProperty	METPO:1007401	METPO:1007401	METPO:2000202	metpo_traitmech_2026_12	HIGH	covers 83 causal-graph edges	Causal-graph counterpart of METPO:2000202, which inherits rdfs:domain METPO:1000525 (microbe) via METPO:2000001 and so cannot be satisfied by any CausalNodeTypeEnum subject (TraitMech#301). Paired positive of METPO:2007801. Edges whose subject IS an activity (BIOLOGICAL_PROCESS, PATHWAY, MOLECULAR_FUNCTION) are NOT migrated here - they take RO:0002234 (has output), whose domain 'biological process or activity' they satisfy; this term is for the protein, trait and chemical subjects that RO cannot cover.
METPO:2007801	does not produce	A relation between a trait causal node and a chemical entity: asserts that the subject, under the stated conditions, does not bring the object into existence.	TraitMech:data/traits/metabolism/proteorhodopsin_phototrophy.yaml#proteorhodopsin_light_driven_proton_pump	owl:ObjectProperty	METPO:1007401	METPO:1007401	METPO:2000222	metpo_traitmech_2026_12	HIGH	covers 1 causal-graph edge	Paired negative of METPO:2007800, following the kg-microbe paired-predicate convention. Mirrors METPO:2000222 with a causal-node domain.
METPO:2007802	reduces	A relation between a trait causal node and a chemical entity: asserts that the subject donates electrons to the object, lowering its oxidation state.	TraitMech:data/traits/environment/aerobic.yaml#aerobic_trait_mechanism	owl:ObjectProperty	METPO:1007401	METPO:1007401	METPO:2000017	metpo_traitmech_2026_12	HIGH	covers 30 causal-graph edges	Causal-graph counterpart of METPO:2000017 (TraitMech#301). Kept distinct from oxidizes/hydrolyzes rather than collapsed into a single catalytic relation: collapsing role-bearing predicates is what lost the donor/acceptor distinction in TraitMech#303. NOTE the corpus writes two senses under the label 'reduces' - this redox sense, and a 'lessens/decreases' sense on about 11 edges that this definition does not cover. Those need relabelling onto RO:0002212 before the term's usage matches its definition; tracked in TraitMech#330. The exemplar cited here is deliberately a redox edge.
METPO:2007803	oxidizes	A relation between a trait causal node and a chemical entity: asserts that the subject removes electrons from the object, raising its oxidation state.	TraitMech:data/traits/metabolism/iron_oxidation.yaml#iron_oxidation_ferrous_to_ferric	owl:ObjectProperty	METPO:1007401	METPO:1007401	METPO:2000016	metpo_traitmech_2026_12	HIGH	covers 21 causal-graph edges	Causal-graph counterpart of METPO:2000016 (TraitMech#301). Sister of METPO:2007802.
METPO:2007804	exports	A relation between a trait causal node and a chemical entity: asserts that the subject moves the object from the cytoplasm across a membrane to the cell exterior.	TraitMech:data/traits/environment/cobalt_tolerant.yaml#cobalt_tolerance_czc_cnr_efflux	owl:ObjectProperty	METPO:1007401	METPO:1007401	METPO:2000209	metpo_traitmech_2026_12	HIGH	covers 14 causal-graph edges	Causal-graph counterpart of METPO:2000209 (TraitMech#301). RO models transport at the process level, so there is no RO relation whose domain admits the GENE_OR_PROTEIN subject these edges use - which is why METPO:2000208/2000209 carry no RO xref upstream either.
METPO:2007805	imports	A relation between a trait causal node and a chemical entity: asserts that the subject moves the object from the cell exterior across a membrane into the cytoplasm.	TraitMech:data/traits/environment/alkaphilic.yaml#alkaliphilic_na_cycle_homeostasis	owl:ObjectProperty	METPO:1007401	METPO:1007401	METPO:2000208	metpo_traitmech_2026_12	HIGH	covers 12 causal-graph edges	Causal-graph counterpart of METPO:2000208 (TraitMech#301). Sister of METPO:2007804; see that row on why RO offers no substitute.
METPO:2007806	has carbon source	A relation between a trait and a chemical entity: asserts that the object supplies the cell carbon that the subject trait's metabolism assimilates.	TraitMech:data/traits/physiology/autotrophic.yaml#autotrophic_inorganic_carbon_fixation	owl:ObjectProperty	METPO:1007401	METPO:1007401	METPO:2000006	metpo_traitmech_2026_12	HIGH	covers 12 causal-graph edges	Role-bearing trait -> chemical relation in the same shape as METPO:2007701/2007702 (has electron donor/acceptor, TraitMech v8). Relabelled from METPO:2000006 'uses as carbon source' because the subject is the trait rather than the organism that uses it.
METPO:2007807	has energy source	A relation between a trait and a chemical entity or environmental factor: asserts that the object supplies the free energy the subject trait's metabolism conserves.	TraitMech:data/traits/physiology/chemoheterotrophic.yaml#chemoheterotrophic_organic_energy_carbon	owl:ObjectProperty	METPO:1007401	METPO:1007401	METPO:2000010	metpo_traitmech_2026_12	HIGH	covers 8 causal-graph edges	Sister of METPO:2007806. Range is deliberately wider than chemical: 6 of the 8 corpus edges point at an ENVIRONMENTAL_FACTOR (light), which is an energy source but not a chemical entity.
METPO:2007808	hydrolyzes	A relation between a trait causal node and a chemical entity: asserts that the subject cleaves the object by the addition of water.	TraitMech:data/traits/ecology/saprotrophy.yaml#saprotrophy_decomposition_cycling	owl:ObjectProperty	METPO:1007401	METPO:1007401	METPO:2000013	metpo_traitmech_2026_12	HIGH	covers 6 causal-graph edges	Causal-graph counterpart of METPO:2000013 (TraitMech#301). Scoped to the 6 edges LABELLED 'hydrolyzes', in which the subject is the hydrolysing agent. A 7th corpus edge shares the CURIE METPO:2000013 under the label 'is hydrolyzed to' (cellulose -> cellobiose, both CHEMICAL) and reads in the inverse direction, substrate to product; migrating it here as-is would assert that cellulose hydrolyses cellobiose. It is deliberately NOT counted and needs its own decision first (TraitMech#327).
