file	graph_id	defect	severity	detail
data/traits/ecology/gut_associated.yaml	gut_associated_microbiota_metabolism	ENABLES_RANGE_VIOLATION	WARN	luminal_oxygen_limitation--RO:0002327-->primary_fermenter_community object_type=STATE — enables range is 'biological process or activity', which only BIOLOGICAL_PROCESS, PATHWAY and MOLECULAR_FUNCTION satisfy
data/traits/ecology/human_pathogen.yaml	human_pathogen_anthropoid_adaptation	ENABLES_RANGE_VIOLATION	WARN	biofilm_formation--RO:0002327-->treatment_resistance_persistence object_type=QUALITY — enables range is 'biological process or activity', which only BIOLOGICAL_PROCESS, PATHWAY and MOLECULAR_FUNCTION satisfy
data/traits/environment/facultative_oxygen_preference.yaml	facultative_oxygen_preference_switching	ENABLES_RANGE_VIOLATION	WARN	molecular_oxygen--RO:0002327-->terminal_oxidase_cytochrome_bd object_type=GENE_OR_PROTEIN — enables range is 'biological process or activity', which only BIOLOGICAL_PROCESS, PATHWAY and MOLECULAR_FUNCTION satisfy
data/traits/environment/growth_range_phenotype_with_numerical_limits.yaml	growth_range_phenotype_descriptor	ENABLES_RANGE_VIOLATION	WARN	cation_proton_antiporter--RO:0002327-->cytoplasm_acidification object_type=STATE — enables range is 'biological process or activity', which only BIOLOGICAL_PROCESS, PATHWAY and MOLECULAR_FUNCTION satisfy
data/traits/environment/metal_tolerant.yaml	metal_tolerance_efflux_detoxification	ENABLES_RANGE_VIOLATION	WARN	ars_operon--RO:0002327-->arsenic_tolerance object_type=STATE — enables range is 'biological process or activity', which only BIOLOGICAL_PROCESS, PATHWAY and MOLECULAR_FUNCTION satisfy
data/traits/environment/ph_delta_high.yaml	ph_delta_high_euryphilic_breadth	ENABLES_RANGE_VIOLATION	WARN	near_neutral_cytoplasmic_ph--RO:0002327-->growth_external_ph_5_5_9 object_type=STATE — enables range is 'biological process or activity', which only BIOLOGICAL_PROCESS, PATHWAY and MOLECULAR_FUNCTION satisfy
data/traits/environment/ph_range_high.yaml	ph_range_high_extreme_alkaliphile	ENABLES_RANGE_VIOLATION	WARN	cytoplasmic_na--RO:0002327-->mrp_antiporter_complex object_type=GENE_OR_PROTEIN — enables range is 'biological process or activity', which only BIOLOGICAL_PROCESS, PATHWAY and MOLECULAR_FUNCTION satisfy
data/traits/environment/piezophilic.yaml	piezophilic_hhp_membrane_adaptation	ENABLES_RANGE_VIOLATION	WARN	pfa_operon--RO:0002327-->omega3_pufa object_type=CHEMICAL — enables range is 'biological process or activity', which only BIOLOGICAL_PROCESS, PATHWAY and MOLECULAR_FUNCTION satisfy
data/traits/environment/pressure_optimum.yaml	pressure_optimum_balanced_adaptation	ENABLES_RANGE_VIOLATION	WARN	intracellular_osmotic_pressure--RO:0002327-->hhp_tolerance object_type=CAPACITY — enables range is 'biological process or activity', which only BIOLOGICAL_PROCESS, PATHWAY and MOLECULAR_FUNCTION satisfy
data/traits/environment/pressure_optimum.yaml	pressure_optimum_balanced_adaptation	ENABLES_RANGE_VIOLATION	WARN	compatible_solute_accumulation--RO:0002327-->hhp_tolerance object_type=CAPACITY — enables range is 'biological process or activity', which only BIOLOGICAL_PROCESS, PATHWAY and MOLECULAR_FUNCTION satisfy
data/traits/genomics/ploidy.yaml	ploidy_repair_survival	ENABLES_RANGE_VIOLATION	WARN	genome_copy_number--RO:0002327-->growth_without_phosphate object_type=CAPACITY — enables range is 'biological process or activity', which only BIOLOGICAL_PROCESS, PATHWAY and MOLECULAR_FUNCTION satisfy
data/traits/metabolism/phototrophy.yaml	phototrophy_light_energy_capture	ENABLES_RANGE_VIOLATION	WARN	phototrophy_trait--RO:0002327-->proton_motive_force object_type=STATE — enables range is 'biological process or activity', which only BIOLOGICAL_PROCESS, PATHWAY and MOLECULAR_FUNCTION satisfy
data/traits/metabolism/proteorhodopsin_phototrophy.yaml	proteorhodopsin_light_driven_proton_pump	ENABLES_RANGE_VIOLATION	WARN	proteorhodopsin_trait--RO:0002327-->proton_motive_force object_type=STATE — enables range is 'biological process or activity', which only BIOLOGICAL_PROCESS, PATHWAY and MOLECULAR_FUNCTION satisfy
data/traits/morphology/branched_shaped.yaml	branched_shaped_streptomyces_branching	ENABLES_RANGE_VIOLATION	WARN	stlp_membrane_microdomains--RO:0002327-->proper_polar_growth_branch_spacing object_type=STATE — enables range is 'biological process or activity', which only BIOLOGICAL_PROCESS, PATHWAY and MOLECULAR_FUNCTION satisfy
data/traits/morphology/cell_width_large.yaml	cell_width_large_setpoint_increase	ENABLES_RANGE_VIOLATION	WARN	rod_complex_rotation--RO:0002327-->even_pg_distribution object_type=QUALITY — enables range is 'biological process or activity', which only BIOLOGICAL_PROCESS, PATHWAY and MOLECULAR_FUNCTION satisfy
data/traits/morphology/filament_shaped.yaml	filament_shaped_streptomyces_polar_growth	ENABLES_RANGE_VIOLATION	WARN	scy--RO:0002327-->apical_polarisome object_type=CELLULAR_LOCALIZATION — enables range is 'biological process or activity', which only BIOLOGICAL_PROCESS, PATHWAY and MOLECULAR_FUNCTION satisfy
data/traits/morphology/gas_vesicle.yaml	gas_vesicle_buoyancy	ENABLES_RANGE_VIOLATION	WARN	gas_vesicle_trait--RO:0002327-->buoyancy object_type=QUALITY — enables range is 'biological process or activity', which only BIOLOGICAL_PROCESS, PATHWAY and MOLECULAR_FUNCTION satisfy
data/traits/morphology/heterocyst.yaml	heterocyst_microoxic_nitrogen_fixation	ENABLES_RANGE_VIOLATION	WARN	het_envelope--RO:0002327-->microoxic_interior object_type=STATE — enables range is 'biological process or activity', which only BIOLOGICAL_PROCESS, PATHWAY and MOLECULAR_FUNCTION satisfy
data/traits/morphology/intracellular_inclusion.yaml	inclusion_compartmentalization	ENABLES_RANGE_VIOLATION	WARN	inclusion_trait--RO:0002327-->cytoplasmic_compartmentalization object_type=QUALITY — enables range is 'biological process or activity', which only BIOLOGICAL_PROCESS, PATHWAY and MOLECULAR_FUNCTION satisfy
data/traits/morphology/intracellular_inclusion.yaml	inclusion_compartmentalization	ENABLES_RANGE_VIOLATION	WARN	gas_vesicle--RO:0002327-->buoyancy object_type=CAPACITY — enables range is 'biological process or activity', which only BIOLOGICAL_PROCESS, PATHWAY and MOLECULAR_FUNCTION satisfy
data/traits/morphology/motile.yaml	motile_energy_dependent_locomotion	ENABLES_RANGE_VIOLATION	WARN	motor_torque--RO:0002327-->flagellar_motor object_type=GENE_OR_PROTEIN — enables range is 'biological process or activity', which only BIOLOGICAL_PROCESS, PATHWAY and MOLECULAR_FUNCTION satisfy
data/traits/morphology/sphere_shaped.yaml	sphere_shaped_septal_peptidoglycan	ENABLES_RANGE_VIOLATION	WARN	ftsW_flippase--RO:0002327-->lipid_ii object_type=CHEMICAL — enables range is 'biological process or activity', which only BIOLOGICAL_PROCESS, PATHWAY and MOLECULAR_FUNCTION satisfy
data/traits/physiology/chemolithoheterotrophic.yaml	chemolithoheterotrophic_inorganic_energy_organic_carbon	ENABLES_RANGE_VIOLATION	WARN	sox_pathway--RO:0002327-->sulfate object_type=CHEMICAL — enables range is 'biological process or activity', which only BIOLOGICAL_PROCESS, PATHWAY and MOLECULAR_FUNCTION satisfy
data/traits/physiology/stress_response.yaml	stress_response_induction	ENABLES_RANGE_VIOLATION	WARN	hfq--RO:0002327-->rpos object_type=GENE_OR_PROTEIN — enables range is 'biological process or activity', which only BIOLOGICAL_PROCESS, PATHWAY and MOLECULAR_FUNCTION satisfy
