label	n_nodes	current_grounding	current_status	route	target	swissprot_alt	go_alt	go_label	interpro_alt	curator_decision	note
RuBisCO	7	InterPro:IPR033966		APPLIED_IPR	InterPro:IPR033966	UniProtKB:Q31IK3	GO:0046863	ribulose-1,5-bisphosphate carboxylase/oxygenase activator activity	IPR000685		applied in this pass; exact label match
carbonic anhydrase	6	InterPro:IPR001765		APPLIED_IPR	InterPro:IPR001765	UniProtKB:Q5KW03	GO:0004089	carbonate dehydratase activity	IPR001148		applied in this pass; exact label match
catalase	4	GO:0004096		APPLIED_GO_MF	GO:0004096	UniProtKB:P14412	GO:1902553	positive regulation of catalase activity	IPR000763		applied in this pass; exact label match
reverse gyrase	4	GO:0160097		APPLIED_GO_MF	GO:0160097	UniProtKB:P74759	GO:0160097	reverse gyrase activity	IPR005736		applied in this pass; exact label match
DivIVA	3	InterPro:IPR007793		CURATED_INTERPRO	InterPro:IPR007793	UniProtKB:P71021			IPR007793	APPLIED	curator-reviewed replacement; taxon-agnostic semantic grounding
photosystem II	3	GO:0009523		APPLIED_GO_CC	GO:0009523	UniProtKB:P74367	GO:0009523	photosystem II	IPR001056		applied in this pass; exact label match
sulfide:quinone oxidoreductase (SQR)	3	GO:0070224		APPLIED_GO_MF	GO:0070224						applied in this pass; exact label match
type IV secretion system	3	GO:0043684		APPLIED_GO_CC	GO:0043684	UniProtKB:Q2YIT8	GO:0030255	protein secretion by the type IV secretion system	IPR003688		applied in this pass; exact label match
acetate kinase	2	GO:0008776		APPLIED_GO_MF	GO:0008776	UniProtKB:A0QQK1	GO:0008776	acetate kinase activity	IPR010424		applied in this pass; exact label match
beta-glucosidase	2	GO:0008422		APPLIED_GO_MF	GO:0008422	UniProtKB:Q46829	GO:0008422	beta-glucosidase activity	IPR005556		applied in this pass; exact label match
cytochrome c oxidase	2	GO:0045277		CURATED_GO	GO:0045277	UniProtKB:P98055	GO:1904960	positive regulation of cytochrome-c oxidase activity	IPR000298	APPLIED	curator-reviewed replacement; taxon-agnostic semantic grounding
fatty acid desaturase	2	InterPro:IPR012171		APPLIED_IPR	InterPro:IPR012171	UniProtKB:Q55231	GO:0016213	acyl-CoA 6-desaturase activity	IPR001522		applied in this pass; exact label match
laccase	2	InterPro:IPR017761		APPLIED_IPR	InterPro:IPR017761	UniProtKB:A0A7T1FRB0	GO:0016682	oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor	IPR017761		applied in this pass; exact label match
proteorhodopsin	2	InterPro:IPR017402		CURATED_INTERPRO	InterPro:IPR017402	UniProtKB:Q9F7P4			IPR017402	APPLIED	curator-reviewed replacement; taxon-agnostic semantic grounding
superoxide dismutase	2	GO:0004784		APPLIED_GO_MF	GO:0004784	UniProtKB:O30563	GO:1901671	positive regulation of superoxide dismutase activity	IPR001189		applied in this pass; exact label match
type IV pilus	2	GO:0044096		APPLIED_GO_CC	GO:0044096	UniProtKB:G3XCX3	GO:0044096	type IV pilus	IPR005883		applied in this pass; exact label match
4-hydroxyphenylpyruvate dioxygenase	1	GO:0003868		APPLIED_GO_MF	GO:0003868	UniProtKB:Q9S2F4	GO:0003868	4-hydroxyphenylpyruvate dioxygenase activity	IPR005956		applied in this pass; exact label match
LexA repressor	1	InterPro:IPR050077		APPLIED_IPR	InterPro:IPR050077	UniProtKB:A0PT76			IPR006199		applied in this pass; exact label match
NADH peroxidase	1	GO:0016692		APPLIED_GO_MF	GO:0016692	UniProtKB:P37062	GO:0016692	NADH peroxidase activity			applied in this pass; exact label match
NADPH peroxidase	1	GO:0050137		APPLIED_GO_MF	GO:0050137		GO:0050137	NADPH peroxidase activity			applied in this pass; exact label match
acetyl-CoA carboxylase	1	GO:0003989		APPLIED_GO_MF	GO:0003989	UniProtKB:P29906	GO:0050406	[acetyl-CoA carboxylase]-phosphatase activity	IPR000438		applied in this pass; exact label match
alkyl hydroperoxide reductase (AhpC)	1	GO:0009321		APPLIED_GO_CC	GO:0009321						applied in this pass; exact label match
ammonia monooxygenase	1	GO:0018597		APPLIED_GO_MF	GO:0018597	UniProtKB:Q04508	GO:0018597	ammonia monooxygenase activity	IPR003393		applied in this pass; exact label match
ammonia monooxygenase (AMO)	1	GO:0018597		APPLIED_GO_MF	GO:0018597						applied in this pass; exact label match
beta-N-acetylglucosaminidase	1	GO:0016231		APPLIED_GO_MF	GO:0016231	UniProtKB:T1WGN1	GO:0033925	mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase activity	IPR005201		applied in this pass; exact label match
beta-lactamase	1	GO:0008800		APPLIED_GO_MF	GO:0008800	UniProtKB:P06548	GO:0008800	beta-lactamase activity	IPR000871		applied in this pass; exact label match
carbamate kinase (arginine deiminase pathway)	1	GO:0008804		APPLIED_GO_MF	GO:0008804						applied in this pass; exact label match
catalase (KatA)	1	GO:0004096		APPLIED_GO_MF	GO:0004096						applied in this pass; exact label match
cytochrome b6f complex	1	GO:0009512		APPLIED_GO_CC	GO:0009512		GO:0009512	cytochrome b6f complex			applied in this pass; exact label match
divisome (FtsZ/PBP2x/FtsW)	1	GO:1990586		APPLIED_GO_CC	GO:1990586						applied in this pass; exact label match
divisome complex	1	GO:1990586		APPLIED_GO_CC	GO:1990586		GO:1990586	divisome complex			applied in this pass; exact label match
exopolyphosphatase (PPX)	1	GO:0004309		APPLIED_GO_MF	GO:0004309						applied in this pass; exact label match
ferredoxin-NADP+ reductase	1	GO:0004324		APPLIED_GO_MF	GO:0004324	UniProtKB:Q44549	GO:0004324	ferredoxin-NADP+ reductase activity	IPR021163		applied in this pass; exact label match
formate dehydrogenase	1	GO:0009326		APPLIED_GO_CC	GO:0009326	UniProtKB:P33160	GO:0008863	formate dehydrogenase (NAD+) activity	IPR006443		applied in this pass; exact label match
formate dehydrogenase (FDH)	1	GO:0009326		APPLIED_GO_CC	GO:0009326		GO:0036397	formate dehydrogenase (quinone) activity			applied in this pass; exact label match
formate dehydrogenase (Fdh)	1	GO:0009326		APPLIED_GO_CC	GO:0009326		GO:0036397	formate dehydrogenase (quinone) activity			applied in this pass; exact label match
formate dehydrogenase complex	1	GO:0009326		APPLIED_GO_CC	GO:0009326		GO:0009326	formate dehydrogenase complex			applied in this pass; exact label match
homogentisate 1,2-dioxygenase	1	GO:0004411		APPLIED_GO_MF	GO:0004411	UniProtKB:Q88E47	GO:0004411	homogentisate 1,2-dioxygenase activity	IPR005708		applied in this pass; exact label match
hydroxylamine oxidoreductase (HAO)	1	GO:0033740		APPLIED_GO_MF	GO:0033740		GO:0047991	hydroxylamine oxidase activity			applied in this pass; exact label match
inorganic carbon transporter	1	InterPro:IPR006007		APPLIED_IPR	InterPro:IPR006007	UniProtKB:A0A6L8Q027	GO:0015698	inorganic anion transport	IPR006007		applied in this pass; exact label match
lactate dehydrogenase	1	GO:0004457		APPLIED_GO_MF	GO:0004457	UniProtKB:P52643	GO:0004458	D-lactate dehydrogenase (cytochrome) activity	IPR003767		applied in this pass; exact label match
lycopene beta-cyclase (CrtY)	1	GO:0045436		APPLIED_GO_MF	GO:0045436						applied in this pass; exact label match
manganese peroxidase	1	GO:0016689		APPLIED_GO_MF	GO:0016689	UniProtKB:K7N5M8	GO:0016689	manganese peroxidase activity			applied in this pass; exact label match
manganese peroxidase (MnP)	1	GO:0016689		APPLIED_GO_MF	GO:0016689						applied in this pass; exact label match
methane monooxygenase	1	GO:0015050		APPLIED_GO_CC	GO:0015050	UniProtKB:Q53563	GO:0018648	methanesulfonate monooxygenase activity	IPR003393		applied in this pass; exact label match
methyl-coenzyme M reductase	1	GO:0044674		CURATED_GO	GO:0044674	UniProtKB:P11567	GO:0050524	coenzyme-B sulfoethylthiotransferase activity	IPR003178	APPLIED	curator-reviewed replacement; taxon-agnostic semantic grounding
methyl-coenzyme M reductase (MCR)	1	GO:0044674		APPLIED_GO_CC	GO:0044674						applied in this pass; exact label match
methylmalonyl-CoA carboxytransferase	1	GO:0047154		APPLIED_GO_MF	GO:0047154		GO:0047154	methylmalonyl-CoA carboxytransferase activity			applied in this pass; exact label match
multicopper oxidase	1	InterPro:IPR045087		CURATED_INTERPRO	InterPro:IPR045087	UniProtKB:I6WZK7			IPR001117	APPLIED	curator-reviewed replacement; taxon-agnostic semantic grounding
nitrogenase	1	GO:0016610		CURATED_GO	GO:0016610	UniProtKB:A0L6X0	GO:0016163	nitrogenase activity	IPR000318	APPLIED	curator-reviewed replacement; taxon-agnostic semantic grounding
nitrogenase complex	1	GO:0016610		APPLIED_GO_CC	GO:0016610		GO:0016610	nitrogenase complex			applied in this pass; exact label match
nitrous oxide reductase (NosZ)	1	GO:0050304		APPLIED_GO_MF	GO:0050304						applied in this pass; exact label match
phosphoenolpyruvate carboxylase	1	GO:0008964		APPLIED_GO_MF	GO:0008964	UniProtKB:P51060	GO:0008964	phosphoenolpyruvate carboxylase activity	IPR007566		applied in this pass; exact label match
photosystem I	1	GO:0009522		APPLIED_GO_CC	GO:0009522	UniProtKB:A5GL35	GO:0009522	photosystem I	IPR000549		applied in this pass; exact label match
phytoene desaturase	1	InterPro:IPR014102		CURATED_INTERPRO	InterPro:IPR014102	UniProtKB:P54979			IPR014102	APPLIED	curator-reviewed replacement; taxon-agnostic semantic grounding
polyketide synthase (PKS)	1	GO:0016218		CURATED_GO	GO:0016218		GO:0034082	type II polyketide synthase complex		APPLIED	curator-reviewed replacement; taxon-agnostic semantic grounding
polyphosphate kinase (PPK)	1	GO:0008976		APPLIED_GO_MF	GO:0008976						applied in this pass; exact label match
polyphosphate kinase (Ppk)	1	GO:0008976		APPLIED_GO_MF	GO:0008976						applied in this pass; exact label match
propionyl-CoA carboxylase	1	GO:0004658		APPLIED_GO_MF	GO:0004658	UniProtKB:Q3J4E6	GO:0004658	propionyl-CoA carboxylase activity	IPR058335		applied in this pass; exact label match
pyruvate decarboxylase	1	GO:0004737		APPLIED_GO_MF	GO:0004737	UniProtKB:P06672	GO:0047432	2,2-dialkylglycine decarboxylase (pyruvate) activity	IPR012110		applied in this pass; exact label match
